2020-01-06;Mo;6.0;-2.5
2020-01-07;Tu;4.6;-2.1
2020-01-08;We;7.2;-1.3
2020-01-09;Th;14.5;3.6
2020-01-10;Fr;11.2;2.3
2020-01-11;Sa;5.4;0.0
2020-01-12;Su;5.1;-3.2
2020-01-13;Mo;7.2;-0.6
2020-01-14;Tu;12.8;-1.1
2020-01-15;We;12.8;-0.7
2020-01-16;Th;12.4;0.2
2020-01-17;Fr;12.2;-1.2
2020-01-18;Sa;6.2;0.5
2020-01-19;Su;1.6;-0.8
2020-01-20;Mo;1.6;-1.4
2020-01-21;Tu;1.4;-2.9
2020-01-22;We;0.6;-4.0
2020-01-23;Th;0.0;-3.9
2020-01-24;Fr;8.7;-3.2
2020-01-25;Sa;7.5;-1.5
2020-01-26;Su;8.3;0.6
2020-01-27;Mo;10.8;2.6
2020-01-28;Tu;6.8;1.6
2020-01-29;We;4.7;1.1
2020-01-30;Th;10.5;2.2
2020-01-31;Fr;14.2;8.7
2020-02-01;Sa;16.4;5.7
2020-02-02;Su;13.2;7.3
2020-02-03;Mo;11.1;5.9
2020-02-04;Tu;14.0;0.9
2020-02-05;We;2.6;-1.0
2020-02-06;Th;6.7;-2.5
2020-02-07;Fr;4.7;-3.6
2020-02-08;Sa;10.1;-3.6
2020-02-09;Su;14.2;-0.6
2020-02-10;Mo;15.9;6.4
2020-02-11;Tu;9.6;1.6
2020-02-12;We;4.9;1.8
2020-02-13;Th;9.8;1.1
2020-02-14;Fr;8.0;4.7
2020-02-15;Sa;12.1;0.6
2020-02-16;Su;17.2;6.1
2020-02-17;Mo;14.9;7.2
2020-02-18;Tu;9.1;4.7
2020-02-19;We;6.8;2.4
2020-02-20;Th;11.0;1.6
2020-02-21;Fr;8.9;2.8
2020-02-22;Sa;16.9;2.6
2020-02-23;Su;16.0;6.7
2020-02-24;Mo;11.6;2.4
2020-02-25;Tu;11.6;6.1
2020-02-26;We;6.1;-0.8
2020-02-27;Th;6.3;0.5
2020-02-28;Fr;5.6;-0.4
2020-02-29;Sa;16.2;3.4
2020-03-01;Su;13.4;2.8
2020-03-02;Mo;9.4;2.8
2020-03-03;Tu;6.0;1.7
2020-03-04;We;7.0;0.6
2020-03-05;Th;9.4;0.6
2020-03-06;Fr;8.2;3.5
2020-03-07;Sa;6.1;2.1
2020-03-08;Su;11.0;0.7
2020-03-09;Mo;9.2;3.6
2020-03-10;Tu;10.2;3.0
2020-03-11;We;16.4;10.1
2020-03-12;Th;17.3;7.3
2020-03-13;Fr;11.7;4.0
2020-03-14;Sa;10.2;1.0
2020-03-15;Su;14.5;1.0
2020-03-16;Mo;17.8;1.4
2020-03-17;Tu;14.1;7.1
2020-03-18;We;17.8;4.9
2020-03-19;Th;18.8;5.0
2020-03-20;Fr;19.4;5.5
2020-03-21;Sa;8.9;0.3
2020-03-22;Su;5.5;-2.3
2020-03-23;Mo;4.0;-4.3
2020-03-24;Tu;5.1;-3.8
2020-03-25;We;5.9;-2.9
2020-03-26;Th;7.5;-2.2
2020-03-27;Fr;17.2;0.6
2020-03-28;Sa;16.0;1.9
2020-03-29;Su;8.6;1.8
2020-03-30;Mo;5.1;-1.6
2020-03-31;Tu;6.9;-3.4
2020-04-01;We;9.7;-3.4
2020-04-02;Th;13.7;-1.5
2020-04-03;Fr;13.3;2.5
2020-04-04;Sa;15.2;3.2
2020-04-05;Su;17.2;3.2
2020-04-06;Mo;21.4;3.0
2020-04-07;Tu;21.5;5.9
2020-04-08;We;22.3;5.6
2020-04-09;Th;21.5;8.0
2020-04-10;Fr;22.0;6.3
2020-04-11;Sa;21.0;7.9
2020-04-12;Su;22.9;8.2
2020-04-13;Mo;21.8;4.4
2020-04-14;Tu;8.8;1.8
2020-04-15;We;17.8;1.0
2020-04-16;Th;22.3;3.5
2020-04-17;Fr;24.5;9.2
2020-04-18;Sa;25.2;10.5
2020-04-19;Su;21.2;10.2
2020-04-20;Mo;18.4;7.8
2020-04-21;Tu;19.4;7.7
2020-04-22;We;21.0;6.1
2020-04-23;Th;21.2;5.6
2020-04-24;Fr;21.9;6.9
2020-04-25;Sa;20.0;9.7
2020-04-26;Su;20.5;4.7
2020-04-27;Mo;20.2;10.2
2020-04-28;Tu;21.5;9.0
2020-04-29;We;13.7;8.8
2020-04-30;Th;17.7;8.0
2020-05-01;Fr;15.9;8.0
2020-05-02;Sa;12.4;5.1
2020-05-03;Su;15.4;5.1
2020-05-04;Mo;17.3;9.6
2020-05-05;Tu;13.1;6.0
2020-05-06;We;14.6;2.6
2020-05-07;Th;20.4;4.1
2020-05-08;Fr;25.0;7.2
2020-05-09;Sa;26.4;12.1
2020-05-10;Su;22.2;13.9
2020-05-11;Mo;19.8;1.6
2020-05-12;Tu;12.5;1.9
2020-05-13;We;9.0;5.9
2020-05-14;Th;12.4;6.4
2020-05-15;Fr;10.6;4.0
2020-05-16;Sa;17.7;2.7
2020-05-17;Su;21.2;5.7
2020-05-18;Mo;23.6;6.6
2020-05-19;Tu;24.4;9.2
2020-05-20;We;20.9;11.1
2020-05-21;Th;23.1;10.9
2020-05-22;Fr;25.5;12.1
2020-05-23;Sa;23.2;8.3
2020-05-24;Su;17.5;7.7
2020-05-25;Mo;17.7;9.8
2020-05-26;Tu;17.7;7.0
2020-05-27;We;20.2;6.4
2020-05-28;Th;17.4;9.2
2020-05-29;Fr;17.2;7.0
2020-05-30;Sa;17.5;6.6
2020-05-31;Su;18.2;6.8
2020-06-01;Mo;22.5;8.3
2020-06-02;Tu;24.1;9.3
2020-06-03;We;26.2;12.4
2020-06-04;Th;19.4;12.1
2020-06-05;Fr;16.7;11.1
2020-06-06;Sa;20.2;13.3
2020-06-07;Su;13.6;8.6
2020-06-08;Mo;18.3;9.0
2020-06-09;Tu;15.0;10.9
2020-06-10;We;14.8;11.8
2020-06-11;Th;19.9;11.3
2020-06-12;Fr;27.1;10.0
2020-06-13;Sa;26.7;13.4
2020-06-14;Su;15.1;12.7
2020-06-15;Mo;14.7;12.7
2020-06-16;Tu;19.7;12.9
2020-06-17;We;24.0;13.0
2020-06-18;Th;22.9;11.8
2020-06-19;Fr;15.1;12.5
2020-06-20;Sa;19.7;12.1
2020-06-21;Su;21.8;12.4
2020-06-22;Mo;23.8;14.4
2020-06-23;Tu;25.3;14.1
2020-06-24;We;24.8;12.1
2020-06-25;Th;23.6;13.5
2020-06-26;Fr;27.6;12.2
